MoleculeName
UniProt:P54829 PTPN5
UniProt:Q99952 PTPN18
UniProt:P17706 PTPN2
UniProt:Q4JDL3 PTPN20
UniProt:P29074 PTPN4
UniProt:Q9H3S7 PTPN23
UniProt:P35236 PTPN7
UniProt:Q12923 PTPN13
UniProt:Q15678 PTPN14
UniProt:Q9NZH7 IL36B
UniProt:Q9UHA7 IL36A
UniProt:Q9NZH8 IL36G
UniProt:Q9HB29 IL1RL2
UniProt:Q9UBH0 IL36RN
UniProt:Q8WWZ1 IL1F10
UniProt:P08311 CTSG
UniProt:P57764 GSDMD
UniProt:P19838 NFKB1
UniProt:Q04206 RELA
UniProt:P41279 MAP3K8
UniProt:Q8NFZ5 TNIP2
UniProt:O14920 IKBKB
UniProt:Q9Y6K9 IKBKG
UniProt:P45985 MAP2K4
UniProt:Q02750 MAP2K1
UniProt:Q9NWZ3 IRAK4
UniProt:Q99836 MYD88
UniProt:P25963 NFKBIA
UniProt:Q9Y4K3 TRAF6
UniProt:P51617 IRAK1
UniProt:Q15750 TAB1
UniProt:Q9NYJ8 TAB2
UniProt:Q8N5C8 TAB3
UniProt:O43318 MAP3K7
UniProt:Q9HC29 NOD2
UniProt:Q9Y239 NOD1
UniProt:O43353 RIPK2
UniProt:O43187 IRAK2
UniProt:Q13404 UBE2V1
UniProt:Q9H0E2 TOLLIP
UniProt:Q8N2H9 PELI3
UniProt:Q96FA3 PELI1
UniProt:Q9HAT8 PELI2
UniProt:Q9Y616 IRAK3
UniProt:P05067 APP
UniProt:P80511 S100A12
UniProt:P04271 S100B
UniProt:P09429 HMGB1
UniProt:Q15109 AGER
UniProt:Q70UQ0 IKBIP
UniProt:Q15048 LRRC14
UniProt:Q86WI3 NLRC5
UniProt:P54578 USP14
UniProt:O75113 N4BP1
UniProt:Q14790 CASP8
UniProt:Q86UT6 NLRX1
UniProt:Q96QP1 ALPK1
UniProt:Q96CG3 TIFA
UniProt:Q15653 NFKBIB
UniProt:Q9NYR9 NKIRAS2
UniProt:Q9NYS0 NKIRAS1
UniProt:P52564 MAP2K6
UniProt:Q13501 SQSTM1
UniProt:Q99759 MAP3K3
UniProt:Q14116-2 IL18
UniProt:O95256 IL18RAP
UniProt:P45983 MAPK8
UniProt:Q9NZN1 IL1RAPL1
UniProt:P07333 CSF1R
UniProt:Q6ZMJ4 IL34
UniProt:P24158 PRTN3
UniProt:P24001 IL32
UniProt:P40222 TXLNA
UniProt:Q13277 STX3
UniProt:P23471 PTPRZ1
UniProt:Q14005 IL16
UniProt:Q12846 STX4
UniProt:P42574 CASP3
UniProt:P01730 CD4
UniProt:P18827 SDC1
UniProt:Q16623 STX1A
UniProt:P63027 VAMP2
UniProt:P60880 SNAP25
UniProt:Q15833 STXBP2
UniProt:P07947 YES1
UniProt:P46109 CRKL
UniProt:P46108 CRK
UniProt:Q13905 RAPGEF1
UniProt:Q8WV28 BLNK
UniProt:P15498 VAV1
UniProt:P63104 YWHAZ
UniProt:P42680 TEC
UniProt:P17612 PRKACA
UniProt:Q8NEV9 IL27
UniProt:Q6UWB1 IL27RA
UniProt:Q14213 EBI3
UniProt:P27824 CANX
UniProt:P42701 IL12RB1
UniProt:Q9H3K6 BOLA2
UniProt:P26038 MSN
UniProt:P14174 MIF
UniProt:P04179 SOD2
UniProt:P52597 HNRNPF
UniProt:Q53EL6 PDCD4
UniProt:Q00169 PITPNA
UniProt:P11233 RALA
UniProt:P20700 LMNB1
UniProt:P13796 LCP1
UniProt:O14979 HNRNPDL
UniProt:P84077 ARF1
UniProt:Q13126 MTAP
UniProt:P00915 CA1
UniProt:P78417 GSTO1
UniProt:P37837 TALDO1
UniProt:P09661 SNRPA1
UniProt:P07355 ANXA2
UniProt:P61224 RAP1B
UniProt:P22626 HNRNPA2B1
UniProt:P52907 CAPZA1
UniProt:Q99439 CNN2
UniProt:P60953 CDC42
UniProt:Q13177 PAK2
UniProt:P05120 SERPINB2
UniProt:P62937 PPIA
UniProt:O00170 AIP
UniProt:P09210 GSTA2
UniProt:P17987 TCP1
UniProt:P05388 RPLP0
UniProt:P00441 SOD1
UniProt:P23528 CFL1
UniProt:P38646 HSPA9
UniProt:P51809 VAMP7
UniProt:Q99665 IL12RB2
UniProt:P07237 P4HB
UniProt:O14733 MAP2K7
UniProt:P45984 MAPK9
UniProt:P53779 MAPK10
UniProt:Q16644 MAPKAPK3
UniProt:P49137 MAPKAPK2
UniProt:Q16539 MAPK14
UniProt:Q15759 MAPK11
UniProt:P46734 MAP2K3
UniProt:Q14738 PPP2R5D
UniProt:P62714 PPP2CB
UniProt:P67775 PPP2CA
UniProt:P30153 PPP2R1A
UniProt:P30154 PPP2R1B
UniProt:Q13164 MAPK7
UniProt:O75582 RPS6KA5
UniProt:P19419 ELK1
UniProt:Q15349 RPS6KA2
UniProt:Q15418 RPS6KA1
UniProt:P51812 RPS6KA3
UniProt:Q06413 MEF2C
UniProt:Q02078 MEF2A
UniProt:Q13115 DUSP4
UniProt:P51452 DUSP3
UniProt:Q16828 DUSP6
UniProt:Q16829 DUSP7
UniProt:Q8IV63 VRK3
UniProt:P16220 CREB1
UniProt:P18846 ATF1
UniProt:P05412 JUN
UniProt:P15336 ATF2
UniProt:Q96F46 IL17RA
UniProt:Q9H293 IL25
UniProt:Q9NRM6 IL17RB
UniProt:Q9P0M4 IL17C
UniProt:Q8NFR9 IL17RE
UniProt:Q8NAC3 IL17RC
UniProt:P0DTC8 8
UniProt:P12931 SRC
UniProt:Q8WWW8 GAB3
UniProt:P48736 PIK3CG
UniProt:P16885 PLCG2
UniProt:Q13769 THOC5
UniProt:Q13153 PAK1
UniProt:O75914 PAK3
UniProt:P16333 NCK1
UniProt:Q13094 LCP2
UniProt:O43561 LAT
UniProt:P42768 WAS
UniProt:Q08881 ITK
UniProt:P07766 CD3E
UniProt:P04234 CD3D
UniProt:P01733 TRBV12-3
UniProt:P04435 TRBV7-9
UniProt:P01850 TRBC1
UniProt:P01737 TRAV8-4
UniProt:P04437 TRAV29DV5
UniProt:A0A0A6YYK7 TRAV19
UniProt:P01848 TRAC
UniProt:P09693 CD3G
UniProt:P20963-1 CD247
UniProt:P43403 ZAP70
UniProt:Q93033 CD101
UniProt:O15117 FYB1
UniProt:Q9UI08 EVL
