MoleculeName
UniProt:P01599 IGKV1-17
UniProt:A0A075B6P5 IGKV2-28
UniProt:P04430 IGKV1-16
UniProt:P01602 IGKV1-5
UniProt:P06315 IGKV5-2
UniProt:P01594 IGKV1-33
UniProt:A2NJV5 IGKV2-29
UniProt:Q8WWV6 FCAMR
UniProt:P78380 OLR1
UniProt:Q04881 Opacity protein opA68
UniProt:Q04883 opaD
UniProt:Q04875 opaG
UniProt:Q04880 opaK
UniProt:P09888 piiC
UniProt:Q04884 opaH
UniProt:Q04885 Opacity protein opA65
UniProt:Q05033 Opacity protein opA66
UniProt:Q05034 Opacity protein opA67
UniProt:P11296 opaC
UniProt:Q04879 opaF
UniProt:Q04877 opaI
UniProt:P11297 Opacity protein V28
UniProt:Q04874 opaB
UniProt:Q04876 opaA
UniProt:Q04878 opaE
UniProt:Q04882 opaJ
UniProt:P06731 CEACAM5
UniProt:P13688 CEACAM1
UniProt:P40199 CEACAM6
UniProt:P40198 CEACAM3
UniProt:P78310 CXADR
UniProt:Q86YT9 JAML
UniProt:P04233 CD74
UniProt:P14174 MIF
UniProt:Q15389 ANGPT1
UniProt:Q02763 TEK
UniProt:P01116-2 KRAS
UniProt:P01111 NRAS
UniProt:P01116-1 KRAS
UniProt:P01112 HRAS
UniProt:Q14451 GRB7
UniProt:Q14449 GRB14
UniProt:O60496 DOK2
UniProt:Q9Y264 ANGPT4
UniProt:O15123 ANGPT2
UniProt:P07204 THBD
UniProt:P04070 PROC
UniProt:Q9UNN8 PROCR
UniProt:P10720 PF4V1
UniProt:P16422 EPCAM
UniProt:P13612 ITGA4
UniProt:P07947 YES1
UniProt:Q92835 INPP5D
UniProt:P06756 ITGAV
UniProt:P19174 PLCG1
UniProt:P23229 ITGA6
UniProt:P26006 ITGA3
UniProt:P35613 BSG
UniProt:P16150 SPN
UniProt:Q03135 CAV1
UniProt:Q13356 PPIL2
UniProt:P54709 ATP1B3
UniProt:P14415 ATP1B2
UniProt:P05026 ATP1B1
UniProt:P20916 MAG
UniProt:P32004 L1CAM
UniProt:P03956 MMP1
UniProt:P53985 SLC16A1
UniProt:O15427 SLC16A3
UniProt:O95907 SLC16A8
UniProt:P08195 SLC3A2
UniProt:Q9NS82 SLC7A10
UniProt:P82251 SLC7A9
UniProt:Q9UM01 SLC7A7
UniProt:Q9UHI5 SLC7A8
UniProt:Q01650 SLC7A5
UniProt:Q92536 SLC7A6
UniProt:Q9UPY5 SLC7A11
UniProt:Q9BX67 JAM3
UniProt:Q14242 SELPLG
UniProt:P16581 SELE
UniProt:Q96AP7 ESAM
UniProt:P14151 SELL
UniProt:Q92896 GLG1
UniProt:P16070 CD44
UniProt:Q9Y624 F11R
UniProt:P11215 ITGAM
UniProt:P05107 ITGB2
UniProt:P57087 JAM2
UniProt:Q9BZW8 CD244
UniProt:P09326 CD48
UniProt:P08648 ITGA5
UniProt:P31997 CEACAM8
UniProt:Q8TCZ2 CD99L2
UniProt:P14209 CD99
UniProt:Q9U4X0 ebl1
UniProt:Q76NM5 eba-140
UniProt:P19214 Erythrocyte-binding antigen 175
UniProt:P04921 GYPC
UniProt:P02724 GYPA
UniProt:P06028 GYPB
UniProt:P20701 ITGAL
UniProt:Q9UIB8 CD84
UniProt:P06729 CD2
UniProt:P19256 CD58
UniProt:Q9NP99 TREM1
UniProt:Q12866 MERTK
UniProt:P20702 ITGAX
UniProt:Q8N6Q3 CD177
UniProt:Q9P1W8 SIRPG
UniProt:P78324 SIRPA
UniProt:Q08722 CD47
UniProt:O75056 SDC3
UniProt:P18827 SDC1
UniProt:P34741 SDC2
UniProt:P31431 SDC4
UniProt:P35052 GPC1
UniProt:Q00889 PSG6
UniProt:Q15238 PSG5
UniProt:Q9UQ74 PSG8
UniProt:Q00887 PSG9
UniProt:Q00888 PSG4
UniProt:P11465 PSG2
UniProt:Q13046 PSG7
UniProt:Q16557 PSG3
UniProt:Q9UQ72 PSG11
UniProt:P11464 PSG1
UniProt:O14763 TNFRSF10B
UniProt:O00220 TNFRSF10A
UniProt:Q9UBN6 TNFRSF10D
UniProt:Q9UKI3 VPREB3
UniProt:P12018 VPREB1
