MoleculeName
UniProt:Q7Z6E9 RBBP6
UniProt:Q9Y508 RNF114
UniProt:Q96PU5 NEDD4L
UniProt:Q63HN8 RNF213
UniProt:Q8ND25 ZNRF1
UniProt:Q8NHG8 ZNRF2
UniProt:Q9NQ86 TRIM36
UniProt:Q9H9P5 UNKL
UniProt:Q13616 CUL1
UniProt:Q9UKA2 FBXL4
UniProt:Q9NVW2 RLIM
UniProt:Q96BD6 SPSB1
UniProt:Q8TC41 RNF217
UniProt:Q9NV58 RNF19A
UniProt:Q8WY64 MYLIP
UniProt:Q9BYM8 RBCK1
UniProt:Q5U5R9 HECTD2
UniProt:Q8IVU3 HERC6
UniProt:Q9Y6I7 WSB1
UniProt:Q17RB8 LONRF1
UniProt:Q9Y4L5 RNF115
UniProt:Q14669 TRIP12
UniProt:Q5XUX1 FBXW9
UniProt:Q9UKT7 FBXL3
UniProt:Q8WWI1 LMO7
UniProt:Q9UKA1 FBXL5
UniProt:Q96IG2 FBXL20
UniProt:Q969U6 FBXW5
UniProt:Q9UKB1 FBXW11
UniProt:Q96ME1 FBXL18
UniProt:Q96CD0 FBXL8
UniProt:Q9H469 FBXL15
UniProt:Q9Y3I1 FBXO7
UniProt:Q9UK22 FBXO2
UniProt:Q8NEE6 FBXL13
UniProt:Q9Y297 BTRC
UniProt:Q9UK96 FBXO10
UniProt:Q8TB52 FBXO30
UniProt:Q86XK2 FBXO11
UniProt:Q8NCQ5 FBXO15
UniProt:Q8TF61 FBXO41
UniProt:Q5XUX0 FBXO31
UniProt:Q9UK97 FBXO9
UniProt:Q9UJT9 FBXL7
UniProt:Q8N461 FBXL16
UniProt:Q9NXK8 FBXL12
UniProt:Q9UH90 FBXO40
UniProt:Q6X9E4 FBXW12
UniProt:Q8NEZ5 FBXO22
UniProt:Q5XX13 FBXW10
UniProt:Q969H0 FBXW7
UniProt:P41002 CCNF
UniProt:P57775 FBXW4
UniProt:Q8N1E6 FBXL14
UniProt:Q9UKT6 FBXL21P
UniProt:Q13309 SKP2
UniProt:Q6PCT2 FBXL19
UniProt:O94952 FBXO21
UniProt:Q9UKT5 FBXO4
UniProt:Q9NRD1 FBXO6
UniProt:Q6P050 FBXL22
UniProt:Q9UKT8 FBXW2
UniProt:Q969P5 FBXO32
